id,driveId,gameId,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,home,away,defenseConference,defenseScore,period,clock,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,ppa,offenseTimeouts,defenseTimeouts,wallclock
252460025006,25246002501,252460025,1,5,California,Pac-10,0,Sacramento State,California,Sacramento State,Big Sky,0,1,"{'seconds': 19, 'minutes': 12}",38,62,2,7,5,False,Rush,Marshawn Lynch rush for 5 yards to the CCD 43.,0.0926721665158929,,,
252460025003,25246002501,252460025,1,2,California,Pac-10,0,Sacramento State,California,Sacramento State,Big Sky,0,1,"{'seconds': 10, 'minutes': 14}",26,74,2,3,0,False,Pass,"Nate Longshore, fumbled by Nate Longshore at the CCD 26, recovered by Justin Forsett to the CCD 26.",-0.8006785198676463,,,
252460025009,25246002501,252460025,1,8,California,Pac-10,0,Sacramento State,California,Sacramento State,Big Sky,0,1,"{'seconds': 34, 'minutes': 10}",50,50,2,3,15,False,Pass,Nate Longshore pass complete to Thomas Decoud for 15 yards to the SES 35 for a 1ST DOWN.,0.812068722234923,,,
252460025011,25246002501,252460025,1,10,California,Pac-10,6,Sacramento State,California,Sacramento State,Big Sky,0,1,"{'seconds': 26, 'minutes': 9}",69,31,2,6,31,True,Pass,Nate Longshore pass complete to Desean Jackson for 31 yards for a TOUCHDOWN.,,,,
252460025010,25246002501,252460025,1,9,California,Pac-10,0,Sacramento State,California,Sacramento State,Big Sky,0,1,"{'seconds': 58, 'minutes': 9}",65,35,1,10,4,False,Rush,"Marshawn Lynch rush for 4 yards to the SES 31, tackled by #99.",-0.0672821190442117,,,
252460025004,25246002501,252460025,1,3,California,Pac-10,0,Sacramento State,California,Sacramento State,Big Sky,0,1,"{'seconds': 33, 'minutes': 13}",26,74,3,3,9,False,Pass,"Nate Longshore pass complete to Noah Smith for 9 yards to the CCD 35 for a 1ST DOWN, tackled by Chris Hurts and Matt Logue.",1.4872405050261248,,,
252460025008,25246002501,252460025,1,7,California,Pac-10,0,Sacramento State,California,Sacramento State,Big Sky,0,1,"{'seconds': 33, 'minutes': 11}",44,56,4,1,6,False,Rush,Marshawn Lynch rush for 6 yards to the 50 yard line for a 1ST DOWN.,2.470114841984847,,,
252460025002,25246002501,252460025,1,1,California,Pac-10,0,Sacramento State,California,Sacramento State,Big Sky,0,1,"{'seconds': 0, 'minutes': 15}",19,81,1,10,7,False,Rush,"Marshawn Lynch rush for 7 yards to the CCD 26, tackled by Kiel McDonald.",0.5093405251529833,,,
252460025007,25246002501,252460025,1,6,California,Pac-10,0,Sacramento State,California,Sacramento State,Big Sky,0,1,"{'seconds': 19, 'minutes': 12}",43,57,3,2,1,False,Pass,Nate Longshore pass complete to Craig Stevens for 1 yard to the CCD 44.,-0.7552511986427355,,,
252460025005,25246002501,252460025,1,4,California,Pac-10,0,Sacramento State,California,Sacramento State,Big Sky,0,1,"{'seconds': 0, 'minutes': 13}",35,65,1,10,3,False,Rush,Marshawn Lynch rush for 3 yards to the CCD 38.,-0.4062307312880424,,,
